POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
,1160,,,,LSF,,AN,1365,X
,1171,,,,LSF,,AN,1124,
,1161,,,,LSF,,AN,1122,
,1162,,,,LSF,,AN,1370,X
,1163,,,,LSF,,AN,1112,
,1164,,,,LSF,,AN,1116,
,1172,,,,LSF,,AN,1114,
,1173,,,,LSF,,AN,1118,
,1174,,,,LSF,,AN,1104,
,1175,,,,LSF,,AN,1375,X
,1176,,,,LSF,,AN,1378,
,1177,,,,LSF,,AN,1110,
,1178,,,,LSF,,AN,1096,
,1181,,,,LSF,,AN,1100,
,1182,,,,LSF,,AN,1098,
,1183,,,,LSF,,AN,1102,
,1184,,,,LSF,,AN,1088,
,1185,,,,LSF,,AN,1092,
,1186,,,,LSF,,AN,1380,X
,1187,,,,LSF,,AN,1094,
,1188,,,,LSF,,AN,1080,
,1189,,,,LSF,,AN,1084,
,1190,,,,LSF,,AN,1082,
,1191,,,,LSF,,AN,1086,
,1192,,,,LSF,,AN,1385,X
,1194,,,,LSF,,AN,1076,
,1196,,,,LSF,,AN,1074,
,1197,,,,LSF,,AN,1400,X
,1198,,,,LSF,,AN,1064,
,1201,,,,LSF,,AN,1405,X
,1202,,,,LSF,,AN,1066,
,1203,,,,LSF,,AN,1070,
,1204,,,,LSF,,AN,1056,
,1211,,,,LSF,,AN,1060,
,1212,,,,LSF,,AN,1058,
,1213,,,,LSF,,AN,1415,X
,1214,,,,LSF,,AN,1418,X
,1215,,,,LSF,,AN,1052,
,1216,,,,LSF,,AN,1050,
,1217,,,,LSF,,AN,1054,
,1218,,,,LSF,,AN,1420,X
,1221,,,,LSF,,AN,1425,X
,1219,,,,LSF,,AN,1046,
,1220,,,,LSF,,AN,1036,
,1222,,,,LSF,,AN,1426,x
,1224,,,,LSF,,AN,1038,
,1225,,,,LSF,,AN,1032,
,1226,,,,LSF,,AN,1034,
,1227,,,,LSF,,AN,1026,
,1228,,,,LSF,,AN,1030,
,1231,,,,LSF,,AN,1028,
,1232,,,,LSF,,AN,1024,
,1233,,,,LSF,,AN,1020,
,1234,,,,LSF,,AN,1022,
,1301,,,,LSI,,AP,1366,
