STREET ADDRESS,WALK SEQ.,CITY CODE
209 W. LINCOLN AVE.,1296,2
211 W. LINCOLN AVE.,1278,2
501 N. JEFFERSON ST.,1280,2
503 N. JEFFERSON ST.,1282,2
505 N JEFFERSON ST.,1284,2
507 N. JEFFERSON ST.,1286,2
509 N. JEFFERSON ST.,1288,2
511 N. JEFFERSON ST.,1290,2
206 W. CLEVELAND AVE.,1292,2
204 W. CLEVELAND AVE.,1294,2
202 W. CLEVELAND AVE.,745,2
200 W. CLEVELAND AVE.,1298,2
508 N. WASHINGTON ST.,1300,2
506 N. WASHINGTON ST.,1302,2
504 N WASHINGTON ST.,1304,2
502 N. WASHINGTON ST.,1306,2
600 N. STATE ST.,1308,2
513 N. STATE ST.,1312,2
514 N. STATE ST.,1310,2
515 N. STATE ST.,1314,2
117 E. CLEVELAND AVE.,1316,2
601 N. STATE ST.,1318,2
603 N. STATE ST.,1320,2
602 N. STATE ST.,1322,2
614 N. STATE ST.,1324,2
700 N. STATE ST.,1326,2
615 N. STATE ST.,1328,2
701 N. STATE ST.,1330,2
708 N. STATE ST.,1332,2
802 N. STATE ST.,1334,2
814 N. STATE ST.,1336,2
900 N. STATE ST.,1338,2
904 N. STATE ST.,1340,2
901 N. STATE ST.,1342,2
815 N. STATE ST.,1344,2
900 N. LANIER ST.,1350,2
902 N. LANIER ST.,1352,2
904 N. LANIER ST.,1354,2
906 N. LANIER ST.,1356,2
910 N. LANIER ST.,1358,2
907 N. LANIER ST.,1360,2
905 N. LANIER ST.,1362,2
903 N. LANIER ST.,1364,2
901 N. LANIER ST.,1366,2
805 N. LANIER ST.,1346,2
203 ROOSEVELT ST.,1368,2
806 N. LEXINGTON ST.,1374,2
807 N. LEXINGTON ST.,1376,2
805 N. LEXINGTON ST.,1378,2
803 N. LEXINGTON ST.,1380,2
801 N. LEXINGTON ST.,1382,2
707 N. LEXINGTON ST.,1386,2
705 N. LEXINGTON ST.,1388,2
206 E. TURNER AVE.,1390,2
219 E. TURNER ST.,1392,2
209 E. TURNER ST.,1394,2
801 N. LANIER ST.,1396,2
709 N. LANIER ST.,1398,2
802 N. LANIER ST.,1400,2
801 N. LANIER ST.,1402,2
713 N. STATE ST.,1404,2
707 N. LANIER ST.,1408,2
706 N. LANIER ST.,1410,2
705 N. LANIER ST.,1412,2
700 N. LANIER ST.,1414,2
614 N. LANIER ST.,1416,2
612 N. LANIER ST.,1418,2
602 N. LANIER ST.,1420,2
600 N. LANIER ST.,1424,2
511 N. LANIER ST.,1422,2
601 N. LANIER ST. APT.A,1426,2
601 N. LANIER ST. APT.B,1428,2
601 N. ALNIER ST. APT.C,1430,2
200 E. TOOMBS AVE.,1436,2
202 TOOMBS AVE.,1438,2
201 E. TOOMBS AVE.,1440,2
203 E. TOOMBS AVE.,1442,2
205 E. TOOMBS AVE.,1444,2
614 N. LEXINGTON ST. APT.1,1454,2
614 N. LEXINGTON ST. APT.2,1456,2
612 N. LEXINGTON ST.,1458,2
210 E. LEXINGTON AVE.,818,2
207 E. LINCOLN AVE.,1460,2
205 E. LINCOLN AVE.,1462,2
204 E. LINCOLN AVE.,821,2
203 E. LINCOLN AVE.,1464,2
201 E. LINCOLN AVE.,1466,2
507 N. LANIER ST.,1434,2
506 N. LANIER ST.,1468,2
502 N. LANIER ST.,1470,2
500 N. LANIER ST.,1472,2
410 N. LANIER ST.,1474,2
413 N. LANIER ST.,1476,2
405 N. LANIER ST.,1478,2
403 N. LANIER ST.,1480,2
408 N. LANIER ST.,1482,2
406 N. LANIER ST.,1484,2
406.5 N. LANIER ST. APT.A,1488,2
406.5 N. LANIER ST. APT.B,1486,2
404 N. LANIER ST.,1490,2
101 E. OGLETHORPE AVE.,1494,2
